gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_tier
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0.7054286354915449,High
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,0.03642786429832535,Low
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,0.7337403107903494,High
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,0.03457100945837476,Low
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,0.7924659316115389,High
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,0.9578061687251822,High
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,0.5181371971813545,Medium
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0.27176376658536966,Low
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,0.8186281284848895,High
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,0.04961415791679594,Low
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,0.2303969016826395,Low
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,0.03313426622501994,Low
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,0.28195197720934506,Low
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,0.7792957944092663,High
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,0.4763912481054144,Medium
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,0.09257368406512419,Low
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,0.04009182810276437,Low
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,0.15445772021062087,Low
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,0.5096353256743902,Medium
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,0.5828090588589793,Medium
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,0.9523685507663164,High
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,0.1374219739712455,Low
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,0.6770639299143617,High
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,0.045506106996543574,Low
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,0.12234136483682213,Low
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,0.24153157136145467,Low
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,0.7172220152591479,High
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,0.7321361767467648,High
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,0.003076975766109202,Low
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,0.49014821961095456,Medium
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,0.04670429437893186,Low
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,0.8131773631783583,High
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,0.08072060045515306,Low
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0,0.5028456483801975,Medium
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,0.7225169456334966,High
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,0.058310187855874294,Low
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,0.7699761350377657,High
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,0.35714736558017846,Medium
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,0.8039604740622946,High
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,0.9276432823278725,High
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,0.1950365273674185,Low
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,0.03788338083221012,Low
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,0.030841253176992003,Low
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,0.04861620453085656,Low
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0,0.33017704591484254,Low
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,0.6086919472464458,Medium
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,0.5607976935690514,Medium
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,0.8891342961073364,High
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,0.06975337008127633,Low
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,0.06391465130789677,Low
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0,0.5746900807588731,Medium
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,0.7997335247765086,High
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,0.2765316809391689,Low
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,0.8685110395199274,High
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,0.08413782673706527,Low
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,0.8248791532497161,High
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,0.2086944387121281,Low
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,0.34342555709745065,Low
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,0.01926124878613417,Low
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0,0.18832642253335938,Low
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,0.6310150870900552,Medium
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,0.4154909831011551,Medium
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,0.03355353508383196,Low
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0,0.2122170997543369,Low
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,0.8979093915960901,High
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0,0.5542324850111242,Medium
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,0.2218657796009297,Low
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,0.10356718627074907,Low
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,0.010381132448581548,Low
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0,0.44295906759599435,Medium
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0,0.5991584162111723,Medium
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,0.057833463333048875,Low
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,0.2508159702612636,Low
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0,0.005409562994038331,Low
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0,0.42634022446322123,Medium
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,0.36529585121854763,Medium
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,0.12237844104129361,Low
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0,0.23834259195231103,Low
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,0.36497625584885046,Medium
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0,0.0345584628490887,Low
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,0.9521693442703669,High
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0,0.330371216771942,Low
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,0.7847267539349788,High
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,0.4265047801692033,Medium
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0,0.010067023883420366,Low
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0,0.8185924840301788,High
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,0.07759583662184431,Low
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0,0.024319843275882602,Low
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,0.01251766229928502,Low
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,0.2969930631628585,Low
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,0.38408938552075383,Medium
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0,0.6493301403413515,Medium
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,0.06328534255740172,Low
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0,0.3030889076875827,Low
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,0.2200355253460241,Low
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,0.6882795556661236,High
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0,0.04317489892231159,Low
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,0.3350663068536856,Low
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,0.03585790105055465,Low
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,0.8178867821302972,High
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0,0.618878695657417,Medium
